housecode,name,line,station,residential,area,type,houseArea,orientation,decoration,floor,buildingTime,buildingType,follow,unitPrice,totalPrice,tags,href
106102846143,三环内朝南对中庭套一 不临街 居家安静,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 52.98平米 , 南 , 精装 , 中楼层(共18层) , 2016年建 , 塔楼,9,14346,76,subway:近地铁;vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102846143.html
106104207268,黄  金3楼，精装修，带家具家电，采光好，户型方正,1号线(科学城-韦家碾),韦家碾站,双水康城A区 ,驷马桥,2室1厅 , 74.42平米 , 北 , 精装 , 中楼层(共6层) , 2004年建 , 板楼,3,11422,85,vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106104207268.html
106104235407,荆竹小区7号院 1室1厅 58万,1号线(科学城-韦家碾),韦家碾站,荆竹小区7号院 ,驷马桥,1室1厅 , 47.29平米 , 南 北 , 其他 , 低楼层(共6层) , 1999年建 , 板楼,1,12265,58,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106104235407.html
106102976512,多层商品房住宅 标准大套二坐北朝南采光通透 看房方便,1号线(科学城-韦家碾),韦家碾站,沙河北岸 ,驷马桥,2室1厅 , 85.23平米 , 南 , 简装 , 中楼层(共6层) , 2006年建 , 板楼,9,10560,90,subway:近地铁;vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102976512.html
106103971125,绿地世纪城套二一楼带花园，房子精装修，安静不吵,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室2厅 , 70.24平米 , 西 , 精装 , 低楼层(共21层) , 2016年建 , 塔楼,1,15519,109,subway:近地铁;vr:VR房源;taxfree:房本满五年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103971125.html
106104118388,绿地世纪城精装套一，户型方正 采光充足 视野开阔。,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 49.78平米 , 北 , 简装 , 低楼层(共21层) , 2016年建 , 塔楼,4,14866,74,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106104118388.html
106103324041,绿地世纪城精装套三，交通方便，配套成熟。,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室1厅 , 86.48平米 , 东 , 精装 , 高楼层(共20层) , 2016年建 , 塔楼,8,15958,138,subway:近地铁;vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103324041.html
106103491434,此房精装修 朝东 对小区中庭 居住舒适安静,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 50.08平米 , 东 , 精装 , 低楼层(共21层) , 2016年建 , 塔楼,1,14737,73.8,subway:近地铁;vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103491434.html
106104054548,中环路标准套一，中间楼层客厅带阳台,1号线(科学城-韦家碾),韦家碾站,双水康城D区 ,驷马桥,1室1厅 , 46.28平米 , 南 , 毛坯 , 中楼层(共7层) , 1999年建 , 板楼,3,9292,43,vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106104054548.html
106104135477,绿地世纪城三期 次新房 标准套三 户型方正,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室2厅 , 91.15平米 , 北 , 精装 , 高楼层(共24层) , 2016年建 , 塔楼,9,17554,160,vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106104135477.html
106103697358,标准套二，小区环境较好，适合居住,1号线(科学城-韦家碾),韦家碾站,荆竹小区5号院 ,驷马桥,2室1厅 , 74.49平米 , 东南 , 简装 , 低楼层(共6层) , 2000年建 , 板楼,4,10606,79,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106103697358.html
106103833935,绿地世纪城精装套一采光好可拎包入住,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 50.48平米 , 北 , 精装 , 低楼层(共21层) , 2016年建 , 塔楼,1,14858,75,subway:近地铁;vr:VR房源,https://cd.lianjia.com/ershoufang/106103833935.html
106104054565,2.5环双公园，清水房方便装修,1号线(科学城-韦家碾),韦家碾站,双水康城D区 ,驷马桥,2室1厅 , 73.54平米 , 西 , 毛坯 , 中楼层(共6层) , 2004年建 , 板楼,6,10063,74,vr:VR房源,https://cd.lianjia.com/ershoufang/106104054565.html
106101358961,绿地世纪城住家装修标准套二随时看房,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 72.81平米 , 西 , 精装 , 高楼层(共21层) , 2016年建 , 塔楼,7,15520,113,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106101358961.html
106101294132,绿地世纪城二室二厅一厨一卫住家装修,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室2厅 , 70.43平米 , 东 , 简装 , 中楼层(共21层) , 2016年建 , 塔楼,1,18601,131,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106101294132.html
106101436146,绿地世纪城朝南精装横厅套二中高楼层,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室2厅 , 73.88平米 , 南 , 精装 , 高楼层(共16层) , 2016年建 , 塔楼,8,17597,130,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106101436146.html
106102518083,绿地精装套二，业主自住装修，拎包入住,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 71.4平米 , 东 , 精装 , 高楼层(共21层) , 2016年建 , 塔楼,2,15407,110,subway:近地铁;vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102518083.html
106101941690,绿地世纪城  精装套三单卫   不临街  中区中间,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,3室1厅 , 86.56平米 , 南 , 精装 , 高楼层(共20层) , 2016年建 , 塔楼,1,17445,151,subway:近地铁;vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106101941690.html
106101319794,沙河北岸标准套三双卫户型采光好,1号线(科学城-韦家碾),韦家碾站,沙河北岸 ,驷马桥,3室2厅 , 114平米 , 东南 , 简装 , 低楼层(共6层) , 2006年建 , 板楼,1,11229,128,subway:近地铁;vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106101319794.html
106101094541,绿地世纪城标准套二，客厅朝南，位置安静，户型方正。,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 74平米 , 南 , 简装 , 高楼层(共18层) , 2016年建 , 塔楼,7,17568,130,subway:近地铁;vr:VR房源,https://cd.lianjia.com/ershoufang/106101094541.html
106101316098,绿地世纪城标准套一 交通便利 干净舒适,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 50.4平米 , 东 , 简装 , 低楼层(共21层) , 2016年建 , 塔楼,1,15874,80,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106101316098.html
106101325203,绿地世纪城一室一厅一厨一卫有装修,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 50.48平米 , 北 , 精装 , 中楼层(共21层) , 2016年建 , 塔楼,7,16839,85,subway:近地铁;vr:VR房源;five:房本满两年,https://cd.lianjia.com/ershoufang/106101325203.html
106102625999,满两年 标准一居室 简单装修 客厅带飘窗 采光好,1号线(科学城-韦家碾),韦家碾站,荆竹小区6号院 ,驷马桥,1室1厅 , 47.29平米 , 东南 , 简装 , 高楼层(共6层) , 1999年建 , 板楼,3,10574,50,subway:近地铁;vr:VR房源;taxfree:房本满五年,https://cd.lianjia.com/ershoufang/106102625999.html
106101941751,绿地世纪城精装套二，带家具家电,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 71.17平米 , 东 , 精装 , 中楼层(共21层) , 2016年建 , 塔楼,2,17424,124,subway:近地铁;vr:VR房源,https://cd.lianjia.com/ershoufang/106101941751.html
106101941738,绿地世纪城精装套二，随时看房，满两年,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 72.81平米 , 南 , 精装 , 中楼层(共21层) , 2016年建 , 塔楼,1,18542,135,subway:近地铁;vr:VR房源,https://cd.lianjia.com/ershoufang/106101941738.html
106101082567,绿地世纪城精装套二，采光好视野好,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,2室1厅 , 75.57平米 , 南 , 精装 , 中楼层(共21层) , 2016年建 , 塔楼,4,16409,124,subway:近地铁;vr:VR房源,https://cd.lianjia.com/ershoufang/106101082567.html
106102996601,绿地世纪城套四双卫中高层采光棒,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,4室2厅 , 120.06平米 , 北 , 简装 , 高楼层(共20层) , 2016年建 , 塔楼,3,17908,215,subway:近地铁;vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106102996601.html
106103823860,绿地世纪城标准大套四，户型方正，带车位。,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,4室1厅 , 121.14平米 , 北 , 毛坯 , 中楼层(共20层) , 2016年建 , 塔楼,2,16510,200,subway:近地铁;vr:VR房源;haskey:随时看房,https://cd.lianjia.com/ershoufang/106103823860.html
106101187487,绿地世纪城标准套一，有装修带家具家电,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 49.88平米 , 北 , 精装 , 低楼层(共18层) , 2016年建 , 塔楼,8,15598,77.8,subway:近地铁;vr:VR房源;five:房本满两年;haskey:随时看房,https://cd.lianjia.com/ershoufang/106101187487.html
106101381974,沙河北岸标准套一，带有大平台，装修好。,1号线(科学城-韦家碾),韦家碾站,沙河北岸 ,驷马桥,1室1厅 , 59平米 , 东 , 简装 , 低楼层(共6层) , 2006年建 , 板楼,1,11526,68,subway:近地铁;vr:VR房源,https://cd.lianjia.com/ershoufang/106101381974.html
106101208476,绿地世纪城 标准套一 居家装修 安静不吵 适合居住,1号线(科学城-韦家碾),韦家碾站,绿地世纪城 ,驷马桥,1室1厅 , 50.24平米 , 西 , 简装 , 高楼层(共21层) , 2016年建 , 塔楼,3,15128,76,subway:近地铁;vr:VR房源,https://cd.lianjia.com/ershoufang/106101208476.html
